TIME ,ID ,POS_X ,POS_Y, TAR_X, TAR_Y, AGENT_RADIUS, COLOR_R, COLOR_G, COLOR_B 
0,0,5,0,-5,0,0.25,1,0,0
0,1,-5,0,5,0,0.25,0,0.004,1
1,0,4.80273,0.0314675,-5,0.0314675,0.25,1,0,0
1,1,-4.80242,-0.0309911,5,-0.0309911,0.25,0,0.004,1
2,0,4.60519,0.0597882,-5,0.0597882,0.25,1,0,0
2,1,-4.60459,-0.058883,5,-0.058883,0.25,0,0.004,1
3,0,4.40741,0.0852769,-5,0.0852769,0.25,1,0,0
3,1,-4.40655,-0.0839858,5,-0.0839858,0.25,0,0.004,1
4,0,4.2094,0.108217,-5,0.1,0.25,1,0,0
4,1,-4.20831,-0.106578,5,-0.1,0.25,0,0.004,1
5,0,4.0112,0.128845,-5,0.1,0.25,1,0,0
5,1,-4.00989,-0.126897,5,-0.1,0.25,0,0.004,1
6,0,3.81281,0.147346,-5,0.1,0.25,1,0,0
6,1,-3.81132,-0.145125,5,-0.1,0.25,0,0.004,1
7,0,3.61426,0.163889,-5,0.1,0.25,1,0,0
7,1,-3.6126,-0.161427,5,-0.1,0.25,0,0.004,1
8,0,3.41557,0.17863,-5,0.1,0.25,1,0,0
8,1,-3.41376,-0.175956,5,-0.1,0.25,0,0.004,1
9,0,3.21675,0.19171,-5,0.1,0.25,1,0,0
9,1,-3.2148,-0.188852,5,-0.1,0.25,0,0.004,1
10,0,3.01781,0.203259,-5,0.1,0.25,1,0,0
10,1,-3.01574,-0.200242,5,-0.1,0.25,0,0.004,1
11,0,2.81951,0.227951,-5,0.1,0.25,1,0,0
11,1,-2.81732,-0.224799,5,-0.1,0.25,0,0.004,1
12,0,2.62104,0.249847,-5,0.1,0.25,1,0,0
12,1,-2.61874,-0.24658,5,-0.1,0.25,0,0.004,1
13,0,2.42242,0.26916,-5,0.1,0.25,1,0,0
13,1,-2.42002,-0.265799,5,-0.1,0.25,0,0.004,1
14,0,2.22367,0.286085,-5,0.1,0.25,1,0,0
14,1,-2.22118,-0.282649,5,-0.1,0.25,0,0.004,1
15,0,2.0248,0.300804,-5,0.1,0.25,1,0,0
15,1,-2.02223,-0.297309,5,-0.1,0.25,0,0.004,1
16,0,1.82583,0.313479,-5,0.1,0.25,1,0,0
16,1,-1.82319,-0.30994,5,-0.1,0.25,0,0.004,1
17,0,1.62676,0.324261,-5,0.1,0.25,1,0,0
17,1,-1.62405,-0.320694,5,-0.1,0.25,0,0.004,1
18,0,1.42762,0.333289,-5,0.1,0.25,1,0,0
18,1,-1.42485,-0.329706,5,-0.1,0.25,0,0.004,1
19,0,1.22839,0.340688,-5,0.1,0.25,1,0,0
19,1,-1.22557,-0.337102,5,-0.1,0.25,0,0.004,1
20,0,1.02911,0.346575,-5,0.1,0.25,1,0,0
20,1,-1.02624,-0.342998,5,-0.1,0.25,0,0.004,1
21,0,0.829882,0.355947,-5,0.1,0.25,1,0,0
21,1,-0.826965,-0.352389,5,-0.1,0.25,0,0.004,1
22,0,0.630596,0.363505,-5,0.1,0.25,1,0,0
22,1,-0.627638,-0.359976,5,-0.1,0.25,0,0.004,1
23,0,0.431259,0.369372,-5,0.1,0.25,1,0,0
23,1,-0.428266,-0.365881,5,-0.1,0.25,0,0.004,1
24,0,0.231882,0.373662,-5,0.1,0.25,1,0,0
24,1,-0.228854,-0.370217,5,-0.1,0.25,0,0.004,1
25,0,0.0324688,0.376478,-5,0.1,0.25,1,0,0
25,1,-0.0294103,-0.373087,5,-0.1,0.25,0,0.004,1
26,0,-0.166973,0.377915,-5,0.1,0.25,1,0,0
26,1,0.17006,-0.374586,5,-0.1,0.25,0,0.004,1
27,0,-0.366437,0.378061,-5,0.1,0.25,1,0,0
27,1,0.36955,-0.3748,5,-0.1,0.25,0,0.004,1
28,0,-0.565919,0.376993,-5,0.1,0.25,1,0,0
28,1,0.569057,-0.373807,5,-0.1,0.25,0,0.004,1
29,0,-0.765414,0.374786,-5,0.1,0.25,1,0,0
29,1,0.768575,-0.37168,5,-0.1,0.25,0,0.004,1
30,0,-0.964917,0.371504,-5,0.1,0.25,1,0,0
30,1,0.9681,-0.368485,5,-0.1,0.25,0,0.004,1
31,0,-1.16442,0.367208,-5,0.1,0.25,1,0,0
31,1,1.16763,-0.36428,5,-0.1,0.25,0,0.004,1
32,0,-1.36393,0.361951,-5,0.1,0.25,1,0,0
32,1,1.36716,-0.35912,5,-0.1,0.25,0,0.004,1
33,0,-1.56344,0.355783,-5,0.1,0.25,1,0,0
33,1,1.56668,-0.353053,5,-0.1,0.25,0,0.004,1
34,0,-1.76294,0.348747,-5,0.1,0.25,1,0,0
34,1,1.7662,-0.346122,5,-0.1,0.25,0,0.004,1
35,0,-1.96243,0.340883,-5,0.1,0.25,1,0,0
35,1,1.96571,-0.338367,5,-0.1,0.25,0,0.004,1
36,0,-2.16191,0.332224,-5,0.1,0.25,1,0,0
36,1,2.1652,-0.329821,5,-0.1,0.25,0,0.004,1
37,0,-2.36138,0.322799,-5,0.1,0.25,1,0,0
37,1,2.36468,-0.320513,5,-0.1,0.25,0,0.004,1
38,0,-2.56082,0.312635,-5,0.1,0.25,1,0,0
38,1,2.56415,-0.310468,5,-0.1,0.25,0,0.004,1
39,0,-2.76025,0.30175,-5,0.1,0.25,1,0,0
39,1,2.76359,-0.299707,5,-0.1,0.25,0,0.004,1
40,0,-2.95966,0.290159,-5,0.1,0.25,1,0,0
40,1,2.96301,-0.288242,5,-0.1,0.25,0,0.004,1
41,0,-3.15903,0.277871,-5,0.1,0.25,1,0,0
41,1,3.1624,-0.276084,5,-0.1,0.25,0,0.004,1
42,0,-3.35838,0.264889,-5,0.1,0.25,1,0,0
42,1,3.36176,-0.263233,5,-0.1,0.25,0,0.004,1
43,0,-3.55769,0.251206,-5,0.1,0.25,1,0,0
43,1,3.56109,-0.249685,5,-0.1,0.25,0,0.004,1
44,0,-3.75696,0.236806,-5,0.1,0.25,1,0,0
44,1,3.76038,-0.235422,5,-0.1,0.25,0,0.004,1
45,0,-3.95619,0.221658,-5,0.1,0.25,1,0,0
45,1,3.95962,-0.220414,5,-0.1,0.25,0,0.004,1
46,0,-4.15536,0.20571,-5,0.1,0.25,1,0,0
46,1,4.1588,-0.204607,5,-0.1,0.25,0,0.004,1
47,0,-4.35445,0.188873,-5,0.1,0.25,1,0,0
47,1,4.35791,-0.187912,5,-0.1,0.25,0,0.004,1
48,0,-4.55345,0.170991,-5,0.1,0.25,1,0,0
48,1,4.55693,-0.170174,5,-0.1,0.25,0,0.004,1
49,0,-4.7523,0.151758,-5,0.1,0.25,1,0,0
49,1,4.7558,-0.151081,5,-0.1,0.25,0,0.004,1
50,0,-4.95085,0.130357,-5,0.1,0.25,1,0,0
50,1,4.7558,-0.151081,5,-0.1,0.25,0,0.004,1
